city,lat,lng,country,iso2,admin_name,population,population_proper
Bannu,32.9894,70.6058,Pakistan,PK,Khyber Pakhtunkhwa,62191.0,62191.0
Timurgara,34.8281,71.8408,Pakistan,PK,Khyber Pakhtunkhwa,58050.0,58050.0
Parachinar,33.8975,70.1,Pakistan,PK,Khyber Pakhtunkhwa,55685.0,55685.0
Gwadar,25.1156,62.3283,Pakistan,PK,Balochistān,51901.0,23364.0
Abdul Hakim,34.7394,62.2444,Pakistan,PK,Punjab,51494.0,51494.0
Hassan Abdal,33.8219,72.6856,Pakistan,PK,Punjab,50044.0,50044.0
Tank,32.2217,70.3803,Pakistan,PK,Khyber Pakhtunkhwa,44996.0,44996.0
Hangu,39.2489,117.7892,Pakistan,PK,Khyber Pakhtunkhwa,39766.0,39766.0
Risalpur Cantonment,30.1333,72.1167,Pakistan,PK,Khyber Pakhtunkhwa,36653.0,36653.0
Karak,39.7194,43.0514,Pakistan,PK,Khyber Pakhtunkhwa,35844.0,35844.0
Kundian,32.45,71.4667,Pakistan,PK,Punjab,35406.0,35406.0
